"state","retail.recreation","grocery.pharmacy","parks","transitstations","workplace","residential","date"
"Illinois",-0.04,-0.03,-0.1,-0.03,-0.03,0.01,2020-02-01
"Illinois",-0.04,-0.03,-0.1,-0.03,-0.03,0.01,2020-02-02
"Illinois",-0.04,-0.03,-0.1,-0.03,-0.03,0.01,2020-02-03
"Illinois",-0.04,-0.03,-0.1,-0.03,-0.03,0.01,2020-02-04
"Illinois",-0.04,-0.03,-0.1,-0.03,-0.03,0.01,2020-02-05
"Illinois",-0.04,-0.03,-0.1,-0.03,-0.03,0.01,2020-02-06
"Illinois",-0.04,-0.03,-0.1,-0.03,-0.03,0.01,2020-02-07
"Illinois",-0.04,-0.03,-0.1,-0.03,-0.03,0.01,2020-02-08
"Illinois",-0.04,-0.03,-0.1,-0.03,-0.03,0.01,2020-02-09
"Illinois",-0.04,-0.03,-0.1,-0.03,-0.03,0.01,2020-02-10
"Illinois",-0.04,-0.03,-0.1,-0.03,-0.03,0.01,2020-02-11
"Illinois",-0.04,-0.03,-0.1,-0.03,-0.03,0.01,2020-02-12
"Illinois",-0.04,-0.03,-0.1,-0.03,-0.03,0.01,2020-02-13
"Illinois",-0.04,-0.03,-0.1,-0.03,-0.03,0.01,2020-02-14
"Illinois",-0.04,-0.03,-0.1,-0.03,-0.03,0.01,2020-02-15
"Illinois",-0.08,-0.02,-0.29,-0.03,-0.02,0.01,2020-02-16
"Illinois",-0.02,0.03,0.14,0.13,0.23,-0.06,2020-02-17
"Illinois",-0.01,0.01,-0.05,-0.02,-0.01,0,2020-02-18
"Illinois",-0.01,0.01,-0.03,-0.02,-0.01,0,2020-02-19
"Illinois",0,0,0,0,-0.02,0,2020-02-20
"Illinois",-0.02,0,-0.05,-0.05,-0.02,0.01,2020-02-21
"Illinois",-0.11,-0.09,-0.57,-0.1,-0.07,0.02,2020-02-22
"Illinois",-0.11,-0.09,-1.04,-0.07,-0.04,0.02,2020-02-23
"Illinois",-0.01,-0.06,0.02,0,-0.02,0,2020-02-24
"Illinois",0.01,0.01,0.03,0.03,-0.01,-0.01,2020-02-25
"Illinois",0,0.01,0.03,0.01,0.01,-0.01,2020-02-26
"Illinois",-0.06,-0.04,-0.04,-0.02,-0.02,0,2020-02-27
"Illinois",-0.06,-0.04,-0.05,-0.07,0,0.01,2020-02-28
"Illinois",-0.14,-0.11,-0.26,-0.1,-0.06,0.03,2020-02-29
"Illinois",-0.17,-0.15,-1.18,-0.12,-0.04,0.03,2020-03-01
"Illinois",-0.08,-0.08,-0.2,0,0.01,0,2020-03-02
"Illinois",-0.1,-0.1,-0.21,-0.02,-0.02,0.01,2020-03-03
"Illinois",-0.09,-0.1,-0.28,-0.04,-0.02,0.01,2020-03-04
"Illinois",-0.07,-0.08,-0.21,-0.02,-0.03,0.01,2020-03-05
"Illinois",-0.06,-0.05,-0.17,-0.04,-0.02,0.01,2020-03-06
"Illinois",-0.14,-0.14,-0.75,-0.13,-0.07,0.03,2020-03-07
"Illinois",-0.15,-0.14,-1.65,-0.1,-0.03,0.02,2020-03-08
"Illinois",0.01,-0.03,0.05,0.05,0,-0.01,2020-03-09
"Illinois",-0.07,-0.1,-0.2,0.02,0,0,2020-03-10
"Illinois",-0.06,-0.13,-0.15,0.02,0.01,0,2020-03-11
"Illinois",-0.07,-0.32,-0.19,0.05,0.01,-0.01,2020-03-12
"Illinois",-0.05,-0.43,-0.19,0.06,0.04,-0.01,2020-03-13
