date,state,county,categoryid,categoryname,demo,visits,avgDuration,p50Duration
2020-02-01,Illinois,,Group,Airport,Above65,33493.0,115.0,
2020-02-01,Illinois,,Group,Airport,All,603167.0,101.0,37.0
2020-02-01,Illinois,,Group,Airport,Below65,569674.0,100.0,
2020-02-01,Illinois,,Group,Alcohol,Above65,8694.0,33.0,
2020-02-01,Illinois,,Group,Alcohol,All,185257.0,41.0,9.0
2020-02-01,Illinois,,Group,Alcohol,Below65,176563.0,41.0,
2020-02-01,Illinois,,Group,Arts & Entertainment,Above65,33348.0,104.0,
2020-02-01,Illinois,,Group,Arts & Entertainment,All,760207.0,106.0,66.0
2020-02-01,Illinois,,Group,Arts & Entertainment,Below65,726859.0,106.0,
2020-02-01,Illinois,,Group,Banks,Above65,19681.0,26.0,
2020-02-01,Illinois,,Group,Banks,All,321247.0,32.0,7.0
2020-02-01,Illinois,,Group,Banks,Below65,301566.0,33.0,
2020-02-01,Illinois,,Group,Beach,Above65,949.0,68.0,
2020-02-01,Illinois,,Group,Beach,All,20633.0,70.0,22.0
2020-02-01,Illinois,,Group,Beach,Below65,19684.0,70.0,
2020-02-01,Illinois,,Group,Big Box Stores,Above65,49243.0,33.0,
2020-02-01,Illinois,,Group,Big Box Stores,All,1050953.0,36.0,23.0
2020-02-01,Illinois,,Group,Big Box Stores,Below65,1001710.0,36.0,
2020-02-01,Illinois,,Group,Bus,Above65,2723.0,51.0,
2020-02-01,Illinois,,Group,Bus,All,72927.0,60.0,12.0
2020-02-01,Illinois,,Group,Bus,Below65,70204.0,61.0,
2020-02-01,Illinois,,Group,Colleges & Universities,Above65,12739.0,94.0,
2020-02-01,Illinois,,Group,Colleges & Universities,All,412040.0,116.0,59.0
2020-02-01,Illinois,,Group,Colleges & Universities,Below65,399301.0,117.0,
2020-02-01,Illinois,,Group,Convenience Store,Above65,17022.0,30.0,
2020-02-01,Illinois,,Group,Convenience Store,All,390659.0,37.0,6.0
2020-02-01,Illinois,,Group,Convenience Store,Below65,373637.0,37.0,
2020-02-01,Illinois,,Group,Discount Stores,Above65,16106.0,25.0,
2020-02-01,Illinois,,Group,Discount Stores,All,328894.0,32.0,13.0
2020-02-01,Illinois,,Group,Discount Stores,Below65,312788.0,32.0,
2020-02-01,Illinois,,Group,Drug Store,Above65,36909.0,20.0,
2020-02-01,Illinois,,Group,Drug Store,All,548063.0,26.0,10.0
2020-02-01,Illinois,,Group,Drug Store,Below65,511154.0,27.0,
2020-02-01,Illinois,,Group,Fast Food Restaurants,Above65,55455.0,23.0,
2020-02-01,Illinois,,Group,Fast Food Restaurants,All,1188482.0,25.0,8.0
2020-02-01,Illinois,,Group,Fast Food Restaurants,Below65,1133027.0,25.0,
2020-02-01,Illinois,,Group,Fitness Center,Above65,23091.0,76.0,
2020-02-01,Illinois,,Group,Fitness Center,All,531737.0,82.0,61.0
2020-02-01,Illinois,,Group,Fitness Center,Below65,508646.0,82.0,
2020-02-01,Illinois,,Group,Food,Above65,260395.0,55.0,
2020-02-01,Illinois,,Group,Food,All,5164471.0,57.0,25.0
2020-02-01,Illinois,,Group,Food,Below65,4904076.0,57.0,
2020-02-01,Illinois,,Group,Gas Stations,Above65,49750.0,26.0,
2020-02-01,Illinois,,Group,Gas Stations,All,1056197.0,33.0,6.0
2020-02-01,Illinois,,Group,Gas Stations,Below65,1006447.0,33.0,
2020-02-01,Illinois,,Group,Government,Above65,9024.0,64.0,
2020-02-01,Illinois,,Group,Government,All,196303.0,81.0,23.0
2020-02-01,Illinois,,Group,Government,Below65,187279.0,82.0,
2020-02-01,Illinois,,Group,Grocery,Above65,133559.0,29.0,
2020-02-01,Illinois,,Group,Grocery,All,1926890.0,32.0,18.0
2020-02-01,Illinois,,Group,Grocery,Below65,1793331.0,32.0,
2020-02-01,Illinois,,Group,Hardware Stores,Above65,34438.0,30.0,
2020-02-01,Illinois,,Group,Hardware Stores,All,482184.0,34.0,17.0
2020-02-01,Illinois,,Group,Hardware Stores,Below65,447745.0,35.0,
2020-02-01,Illinois,,Group,Hotel,Above65,13466.0,195.0,
2020-02-01,Illinois,,Group,Hotel,All,322206.0,214.0,49.0
2020-02-01,Illinois,,Group,Hotel,Below65,308740.0,215.0,
2020-02-01,Illinois,,Group,Light Rail Stations,Above65,701.0,45.0,
2020-02-01,Illinois,,Group,Light Rail Stations,All,17361.0,74.0,14.0
2020-02-01,Illinois,,Group,Light Rail Stations,Below65,16660.0,75.0,
2020-02-01,Illinois,,Group,Medical,Above65,31364.0,85.0,
2020-02-01,Illinois,,Group,Medical,All,552028.0,86.0,34.0
2020-02-01,Illinois,,Group,Medical,Below65,520664.0,86.0,
2020-02-01,Illinois,,Group,Metro Stations,Above65,583.0,20.0,
2020-02-01,Illinois,,Group,Metro Stations,All,31875.0,23.0,6.0
2020-02-01,Illinois,,Group,Metro Stations,Below65,31291.0,23.0,
2020-02-01,Illinois,,Group,Nightlife Spots,Above65,55914.0,87.0,
2020-02-01,Illinois,,Group,Nightlife Spots,All,1520169.0,103.0,60.0
2020-02-01,Illinois,,Group,Nightlife Spots,Below65,1464255.0,104.0,
2020-02-01,Illinois,,Group,Office,Above65,7659.0,73.0,
2020-02-01,Illinois,,Group,Office,All,215264.0,90.0,24.0
2020-02-01,Illinois,,Group,Office,Below65,207605.0,91.0,
2020-02-01,Illinois,,Group,Outdoors & Recreation,Above65,61026.0,74.0,
2020-02-01,Illinois,,Group,Outdoors & Recreation,All,1148062.0,100.0,31.0
2020-02-01,Illinois,,Group,Outdoors & Recreation,Below65,1087036.0,101.0,
2020-02-01,Illinois,,Group,Professional & Other Places,Above65,50847.0,72.0,
2020-02-01,Illinois,,Group,Professional & Other Places,All,1019528.0,91.0,30.0
2020-02-01,Illinois,,Group,Professional & Other Places,Below65,968681.0,92.0,
2020-02-01,Illinois,,Group,Residences,Above65,17626.0,91.0,
2020-02-01,Illinois,,Group,Residences,All,322817.0,109.0,24.0
2020-02-01,Illinois,,Group,Residences,Below65,305192.0,110.0,
2020-02-01,Illinois,,Group,School,Above65,31049.0,104.0,
2020-02-01,Illinois,,Group,School,All,804372.0,108.0,63.0
2020-02-01,Illinois,,Group,School,Below65,773323.0,108.0,
2020-02-01,Illinois,,Group,Shops & Services,Above65,218958.0,41.0,
2020-02-01,Illinois,,Group,Shops & Services,All,4170679.0,47.0,21.0
2020-02-01,Illinois,,Group,Shops & Services,Below65,3951721.0,48.0,
2020-02-01,Illinois,,Group,Spiritual Center,Above65,36979.0,91.0,
2020-02-01,Illinois,,Group,Spiritual Center,All,522258.0,94.0,49.0
2020-02-01,Illinois,,Group,Spiritual Center,Below65,485279.0,94.0,
2020-02-01,Illinois,,Group,Sports,Above65,18279.0,95.0,
2020-02-01,Illinois,,Group,Sports,All,322416.0,112.0,61.0
2020-02-01,Illinois,,Group,Sports,Below65,304137.0,113.0,
2020-02-01,Illinois,,Group,Travel & Transport,Above65,21153.0,54.0,
2020-02-01,Illinois,,Group,Travel & Transport,All,520381.0,66.0,13.0
2020-02-01,Illinois,,Group,Travel & Transport,Below65,499228.0,66.0,
2020-02-02,Illinois,,Group,Airport,Above65,28513.0,111.0,
2020-02-02,Illinois,,Group,Airport,All,576039.0,95.0,39.0
2020-02-02,Illinois,,Group,Airport,Below65,547526.0,95.0,
2020-02-02,Illinois,,Group,Alcohol,Above65,8567.0,30.0,
2020-02-02,Illinois,,Group,Alcohol,All,170826.0,43.0,8.0
2020-02-02,Illinois,,Group,Alcohol,Below65,162259.0,43.0,
2020-02-02,Illinois,,Group,Arts & Entertainment,Above65,32009.0,107.0,
2020-02-02,Illinois,,Group,Arts & Entertainment,All,736306.0,107.0,71.0
2020-02-02,Illinois,,Group,Arts & Entertainment,Below65,704297.0,107.0,
2020-02-02,Illinois,,Group,Banks,Above65,7434.0,37.0,
2020-02-02,Illinois,,Group,Banks,All,160979.0,50.0,8.0
2020-02-02,Illinois,,Group,Banks,Below65,153544.0,51.0,
2020-02-02,Illinois,,Group,Beach,Above65,1503.0,42.0,
2020-02-02,Illinois,,Group,Beach,All,27659.0,63.0,12.0
2020-02-02,Illinois,,Group,Beach,Below65,26156.0,64.0,
2020-02-02,Illinois,,Group,Big Box Stores,Above65,41984.0,32.0,
